Sol Ring
Arcane Signet
Swords to Plowshares
Path to Exile
Cultivate
Counterspell
Farseek
Blasphemous Act
Beast Within
Rampant Growth
Talisman of Dominance
Assassin's Trophy
Nature's Lore
Heroic Intervention
Chaos Warp
Talisman of Creativity
Birds of Paradise
Talisman of Indulgence
Swiftfoot Boots
Talisman of Hierarchy
Kodama's Reach
Talisman of Progress
An Offer You Can't Refuse
Ignoble Hierarch
Dark Ritual
Lightning Greaves
Anguished Unmaking
Talisman of Conviction
Three Visits
Rakdos Signet
Dimir Signet
Izzet Signet
Rhystic Study
Orzhov Signet
Boros Charm
Cyclonic Rift
Rhythm of the Wild
Generous Gift
Negate
Smothering Tithe
Azorius Signet
Llanowar Elves
Fellwar Stone
Arcane Denial
Growth Spiral
Reanimate
Terminate
Demonic Tutor
Boros Signet
Esper Sentinel
Ruinous Ultimatum
Dovin's Veto
Brainstorm
Toxic Deluge
Swan Song
Fierce Guardianship
Thought Vessel
Garruk's Uprising
Deflecting Swat
Eternal Witness
Teferi's Protection
Sakura-Tribe Elder
Putrefy
Elvish Mystic
Faithless Looting
Mystic Remora
Feed the Swarm
Noble Hierarch
Vandalblast
Temur Ascendancy
Phyrexian Arena
Jeska's Will
Frantic Search
Damn
Enlightened Tutor
Rakdos Charm
Void Rend
Vampiric Tutor
Kutzil, Malamet Exemplar
Mana Drain
Leyline of the Guildpact
Propaganda
Mind Stone
Deadly Rollick
Morophon, the Boundless
Despark
Baleful Strix
Lotho, Corrupt Shirriff
Victimize
Deadly Dispute
Talisman of Resilience
Annie Joins Up
Talisman of Curiosity
Solemn Simulacrum
Black Market Connections
Avacyn's Pilgrim
Delighted Halfling
Farewell
Faeburrow Elder
Tatyova, Benthic Druid
Supreme Verdict
Worldly Tutor
Mystical Tutor
Ponder
Goblin Anarchomancer
Austere Command
Bedevil
Windfall
Ghostly Prison
Blood Artist
Abrade
Pongify
Skullclamp
Commander's Sphere
Lightning Bolt
Return of the Wildspeaker
Big Score
Tireless Provisioner
Timeless Lotus
Eerie Ultimatum
Culling Ritual
Talisman of Impulse
Mortify
Deathrite Shaman
Flawless Maneuver
Simic Signet
Hardened Scales
Stroke of Midnight
Sink into Stupor
Doubling Season
Akroma's Will
Beast Whisperer
Mayhem Devil
Wild Growth
Muldrotha, the Gravetide
Crop Rotation
Fyndhorn Elves
Mirari's Wake
Impact Tremors
Scute Swarm
Force of Will
Golgari Signet
Cauldron of Essence
Explore
Elas il-Kor, Sadistic Pilgrim
Night's Whisper
The Great Henge
Thrill of Possibility
Harrow
Village Rites
Rapid Hybridization
Abrupt Decay
Opt
Rishkar's Expertise
Preordain
Storm-Kiln Artist
Grand Abolisher
Professional Face-Breaker
Fell the Profane
Goblin Electromancer
Hexing Squelcher
Elves of Deep Shadow
Sylvan Library
Mirkwood Bats
Eladamri's Call
Gamble
Animate Dead
Gruul Signet
Sign in Blood
Pitiless Plunderer
Zulaport Cutthroat
Revitalizing Repast
Chromatic Lantern
Whirlwind of Thought
Avenger of Zendikar
Gray Merchant of Asphodel
Inspiring Call
Bloom Tender
Malakir Rebirth
Orcish Bowmasters
Maelstrom Wanderer
Seedborn Muse
Archmage Emeritus
Syr Konrad, the Grim
Viscera Seer
The One Ring
Dryad of the Ilysian Grove
Sun Titan
Etali, Primal Storm
Exploration
Skyshroud Claim
Force of Negation
Temur Battlecrier
Hullbreaker Horror
Reclamation Sage
Mass of Mysteries
Snap
Morbid Opportunist
Reality Shift
Untimely Malfunction
Bolas's Citadel
Guardian Project
Ragavan, Nimble Pilferer
Diabolic Intent
Harmonize
Tear Asunder
Withering Torment
Bala Ged Recovery
Infernal Grasp
Etali, Primal Conqueror
Azusa, Lost but Seeking
Lotus Cobra
Resonating Lute
Relic of Sauron
Miirym, Sentinel Wyrm
Finale of Devastation
Decimate
Inkshield
Unexpected Windfall
Witch Enchanter
Craterhoof Behemoth
Niv-Mizzet, Parun
Zacama, Primal Calamity
Phyrexian Metamorph
Talisman of Unity
Flusterstorm
Utopia Sprawl
Warleader's Call
Exsanguinate
Aetherize
Sevinne's Reclamation
Moldervine Reclamation
The Gitrog Monster
Aurelia, the Warleader
Cruel Celebrant
Wayfarer's Bauble
Braids, Arisen Nightmare
Aura Shards
Selesnya Signet
Anointed Procession
Lotus Petal
Dawn's Truce
Rampaging Baloths
Loran of the Third Path
Mana Geyser
Veyran, Voice of Duality
Isshin, Two Heavens as One
Nature's Claim
Faerie Mastermind
Entomb
Expressive Iteration
Aesi, Tyrant of Gyre Strait
Shamanic Revelation
Crackling Doom
Sythis, Harvest's Hand
Branching Evolution
Authority of the Consuls
Seething Song
Bastion of Remembrance
Omnath, Locus of Rage
Kindred Discovery
Toski, Bearer of Secrets
Icetill Explorer
Wear 
Pact of Negation
Forgotten Ancient
Stormcatch Mentor
Redirect Lightning
Anger
Land Tax
Evolution Sage
Voice of Victory
Call the Spirit Dragons
Parallel Lives
Kami of Whispered Hopes
Villainous Wealth
Go for the Throat
Ashnod's Altar
Damnation
Consider
Sterling Grove
Silence
Mondrak, Glory Dominus
Korvold, Fae-Cursed King
Tiamat
Roaming Throne
Kardur, Doomscourge
Entish Restoration
Windcrag Siege
Ramunap Excavator
Dauthi Voidwalker
Shalai, Voice of Plenty
Buried Alive
Welcoming Vampire
Underworld Breach
Fanatic of Rhonas
Teferi, Time Raveler
Spark Double
Anim Pakal, Thousandth Moon
Guttersnipe
Enduring Vitality
Goldspan Dragon
Ramos, Dragon Engine
Thassa's Oracle
Ephemerate
Bident of Thassa
Jegantha, the Wellspring
Unnatural Growth
Demand Answers
Vindicate
Ohran Frostfang
Jukai Naturalist
Gisela, Blade of Goldnight
Selvala, Heart of the Wilds
Snakeskin Veil
Sram, Senior Edificer
Red Elemental Blast
Herald's Horn
Sliver Hivelord
Prismari Command
Blind Obedience
Chrome Mox
Mana Vault
Etherium Sculptor
Esika, God of the Tree
Felidar Retreat
Jhoira, Weatherlight Captain
Kambal, Profiteering Mayor
Oracle of Mul Daya
Wight of the Reliquary
Fist of Suns
Tamiyo's Safekeeping
Chatterfang, Squirrel General
Dispatch
Stump Stomp
Simian Spirit Guide
Mental Misstep
Jetmir, Nexus of Revels
Ghalta, Primal Hunger
Cursed Mirror
Disciple of Freyalise
Grisly Salvage
Deflecting Palm
Warren Soultrader
Pyroblast
Binding the Old Gods
Read the Bones
Coiling Oracle
Soul Warden
Xenagos, God of Revels
Goblin Bombardment
Mother of Runes
Blasphemous Edict
Simic Ascendancy
Legion Leadership
Adeline, Resplendent Cathar
Diabolic Tutor
Insidious Roots
Skull Prophet
Fracture
Conduit of Worlds
Notion Thief
Terrasymbiosis
Unbreakable Formation
Fabricate
Elenda, the Dusk Rose
Two-Headed Hellkite
The Earth Crystal
Chord of Calling
Mahadi, Emporium Master
Cabal Ritual
Accursed Marauder
Champion of Lambholt
Chandra's Ignition
Birgi, God of Storytelling
Third Path Iconoclast
Living Death
Atarka, World Render
Growing Rites of Itlimoc
Green Sun's Zenith
Overwhelming Stampede
Kambal, Consul of Allocation
Sanguine Bond
Tannuk, Memorial Ensign
Terror of the Peaks
Cathars' Crusade
Time Wipe
Frostcliff Siege
Veil of Summer
Sheoldred, the Apocalypse
Valakut Awakening
Necropotence
Six
Maelstrom Nexus
Imperial Seal
Corpse Knight
The Meathook Massacre
Beastmaster Ascension
Vito, Thorn of the Dusk Rose
Gitaxian Probe
Exquisite Blood
Brokers Ascendancy
Wishclaw Talisman
Elemental Bond
Vivi Ornitier
Mindbreak Trap
Displacer Kitten
Darksteel Mutation
Massacre Wurm
Betor, Kin to All
Witherbloom Charm
Tribute to the World Tree
Glissa Sunslayer
Ureni of the Unwritten
Dread Return
Second Harvest
Sliver Legion
The Reaper, King No More
Opposition Agent
Crypt Ghast
Shared Roots
Corpsejack Menace
Planar Genesis
Jeskai Ascendancy
Colossal Grave-Reaver
All-Out Assault
Pinnacle Monk
Arbor Elf
Mardu Siegebreaker
Rise of the Dark Realms
Chulane, Teller of Tales
Elspeth, Storm Slayer
Uro, Titan of Nature's Wrath
Krosan Grip
The Kami War
Wheel of Fortune
Koma, Cosmos Serpent
Tamiyo, Field Researcher
Izzet Charm
Mulldrifter
Sisay, Weatherlight Captain
Thousand-Year Storm
Badgermole Cub
Realmwalker
Sanctum Weaver
Ripples of Undeath
All That Glitters
Laboratory Maniac
Noxious Revival
Naya Charm
Selfless Spirit
Hydroid Krasis
Ghostly Flicker
Kiora's Follower
Golgari Charm
Tireless Tracker
Idol of Oblivion
Marionette Apprentice
Knight of the White Orchid
Mentor of the Meek
Surrak Dragonclaw
Enthusiastic Mechanaut
Toph, Hardheaded Teacher
Adrix and Nev, Twincasters
Archdruid's Charm
The Reaver Cleaver
Grave Pact
Tibalt's Trickery
Thran Dynamo
Honest Rutstein
Wrath of God
Puresteel Paladin
Mox Amber
Savage Ventmaw
Drown in the Loch
Bolt Bend
Nyx Weaver
Utter End
Poison-Tip Archer
Teferi's Ageless Insight
Trouble in Pairs
Waterlogged Teachings
Corrupted Conviction
Patchwork Banner
Clever Concealment
Curiosity
Intangible Virtue
Beledros Witherbloom
Iroas, God of Victory
Mangara, the Diplomat
Greater Good
Wan Shi Tong, Librarian
Culling the Weak
Incubation Druid
Caretaker's Talent
Reprieve
Sensei's Divining Top
Midnight Clock
Wood Elves
Teysa Karlov
Aftermath Analyst
Ornithopter of Paradise
Ozolith, the Shattered Spire
Ancient Greenwarden
Ziatora, the Incinerator
Sanctum of All
Archivist of Oghma
Treasure Cruise
Open the Armory
Yarok, the Desecrated
Dig Through Time
Saw in Half
Life from the Loam
Kenrith's Transformation
Drannith Magistrate
Sphere of Safety
Casualties of War
Innkeeper's Talent
Imperial Recruiter
Hydroelectric Specimen
Carrion Feeder
Soulherder
Mox Opal
Szarel, Genesis Shepherd
Distant Melody
Flashback
Return to Nature
Mithril Coat
Reflections of Littjara
Sword of the Animist
Bitterblossom
Kheru Goldkeeper
The Wind Crystal
Ghalta and Mavren
Springheart Nantuko
Dina's Guidance
Dramatic Reversal
Chainer, Nightmare Adept
Mox Diamond
Plaguecrafter
Torment of Hailfire
Emry, Lurker of the Loch
Dualcaster Mage
Mazirek, Kraul Death Priest
Goreclaw, Terror of Qal Sisma
The Fire Crystal
Fathom Mage
Spelunking
Everflowing Chalice
Wizard Class
Consecrated Sphinx
Kinnan, Bonder Prodigy
Mossborn Hydra
Ancient Copper Dragon
Changeling Outcast
Eldritch Evolution
Fact or Fiction
Erode
Nature's Rhythm
Muddle the Mixture
Cankerbloom
Bridgeworks Battle
Animar, Soul of Elements
Borne Upon a Wind
The Soul Stone
Bartolomé del Presidio
Rise of the Witch-king
Haywire Mite
Shared Animosity
Sea Gate Restoration
Black Market
Aang, at the Crossroads 
Foundry Inspector
Queen Marchesa
Fog
Stitcher's Supplier
Rising of the Day
Fire Diamond
Purphoros, God of the Forge
Warstorm Surge
Consuming Aberration
Charcoal Diamond
Basilisk Collar
Kilo, Apogee Mind
Flare of Fortitude
Enduring Innocence
Rite of Flame
Meren of Clan Nel Toth
Dragonlord Dromoka
Prismari Charm
Panharmonicon
Harmonic Prodigy
Springbloom Druid
Idyllic Tutor
Genesis Ultimatum
Boggart Trawler
Academy Manufactor
Ranger-Captain of Eos
Flame of Anor
Strength of the Harvest
